crop_name_ml,crop_name_en,cultivation_zones,soil_types,fertilizers,seasons,pest_control_methods
പുകയില,Betel Leaf,"തൃശ്ശൂർ, തിരുവനന്തപുരം",മണൽ മണ്ണ്,ജൈവവളം,തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഏലം,Cotton,"പത്തനംതിട്ട, കോട്ടയം",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
ജാതിക്ക വെളുത്തുള്ളി,Small Millet,"തൃശ്ശൂർ, കോട്ടയം, വയനാട്",കളിമണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
മധുരക്കിഴങ്ങ്,Pigeon Pea,"വയനാട്, കൊല്ലം, ഇടുക്കി","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, രാസവളം","കാർഷിക സീസൺ, വേനൽക്കാലം",സമഗ്ര കീട പരിപാലനം
കാപ്പി,Cardamom,"കണ്ണൂർ, എറണാകുളം, കോട്ടയം",മണൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്","മഴക്കാലം, തുലാവർഷം",ജൈവ കീട നിയന്ത്രണം
തേങ്ങ,Corn,"കണ്ണൂർ, കൊല്ലം, മലപ്പുറം","കളിമണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, ജൈവവളം","വേനൽക്കാലം, കാർഷിക സീസൺ",രാസ മരുന്ന്
പച്ചമുളക്,Ginger,"തിരുവനന്തപുരം, കാസർഗോഡ്, ഇടുക്കി",മണൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
കാപ്പി,Coffee,"കോട്ടയം, തൃശ്ശൂർ, കോഴിക്കോട്","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,മഴക്കാലം,ജൈവ കീട നിയന്ത്രണം
പുകയില,Turmeric,"കോഴിക്കോട്, കണ്ണൂർ, പത്തനംതിട്ട",മണൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
വാഴപ്പഴം,Rice,"എറണാകുളം, ഇടുക്കി, പാലക്കാട്","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",കമ്പോസ്റ്റ്,"കാർഷിക സീസൺ, തുലാവർഷം",രാസ മരുന്ന്
ഗോതമ്പ്,Garlic,"കാസർഗോഡ്, തൃശ്ശൂർ","കളിമണ്ണ്, എക്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
ചെറുകിട (തിനാ / ചാമ),Pigeon Pea,"ഇടുക്കി, തിരുവനന്തപുരം",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കരിമ്പ്,Mango,"ഇടുക്കി, എറണാകുളം, കോട്ടയം",ചെങ്കൽ മണ്ണ്,പച്ചിലവളം,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഗോതമ്പ്,Drumstick,ഇടുക്കി,എക്കൽ മണ്ണ്,രാസവളം,"തുലാവർഷം, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കൊക്കോ,Ginger,എറണാകുളം,എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","വേനൽക്കാലം, കാർഷിക സീസൺ","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
നിലക്കടല,Chili,പാലക്കാട്,മണൽ മണ്ണ്,രാസവളം,തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ചോളം,Sugarcane,"പത്തനംതിട്ട, മലപ്പുറം, കൊല്ലം",മണൽ മണ്ണ്,ജൈവവളം,"തുലാവർഷം, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
മുരിങ്ങ,Cardamom,പത്തനംതിട്ട,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,"വേനൽക്കാലം, തുലാവർഷം","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഉരുളക്കിഴങ്ങ്,Cocoa,"കോഴിക്കോട്, കണ്ണൂർ","മണൽ മണ്ണ്, കളിമണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം","തുലാവർഷം, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഫിംഗർ മില്ലറ്റ്,Black Pepper,"കോട്ടയം, കൊല്ലം",എക്കൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്","തുലാവർഷം, കാർഷിക സീസൺ",സമഗ്ര കീട പരിപാലനം
ജാതിക്ക വെളുത്തുള്ളി,Betel Leaf,"കോഴിക്കോട്, വയനാട്",എക്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,മഴക്കാലം,സമഗ്ര കീട പരിപാലനം
ചോളം,Sesame,"കോഴിക്കോട്, കാസർഗോഡ്, ഇടുക്കി",എക്കൽ മണ്ണ്,ജൈവവളം,"തുലാവർഷം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
വാഴപ്പഴം,Sesame,"ഇടുക്കി, കാസർഗോഡ്","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്","മഴക്കാലം, കാർഷിക സീസൺ","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ജാതിക്ക വെളുത്തുള്ളി,Potato,പത്തനംതിട്ട,എക്കൽ മണ്ണ്,"പച്ചിലവളം, കമ്പോസ്റ്റ്","തുലാവർഷം, വേനൽക്കാലം","രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
പൈനാപ്പിൾ,Groundnut,"കണ്ണൂർ, മലപ്പുറം",ചെങ്കൽ മണ്ണ്,രാസവളം,തുലാവർഷം,"ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
നിലക്കടല,Coconut,"എറണാകുളം, കാസർഗോഡ്, കണ്ണൂർ","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,കാർഷിക സീസൺ,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
അരിക്കാട്ട്,Cardamom,തിരുവനന്തപുരം,"ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, പച്ചിലവളം",മഴക്കാലം,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
എള്ള്,Pigeon Pea,"മലപ്പുറം, കണ്ണൂർ, കാസർഗോഡ്","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,"കാർഷിക സീസൺ, മഴക്കാലം",സമഗ്ര കീട പരിപാലനം
ചായ,Grampu,"പാലക്കാട്, തിരുവനന്തപുരം","എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,"വേനൽക്കാലം, കാർഷിക സീസൺ",സമഗ്ര കീട പരിപാലനം
ഫിംഗർ മില്ലറ്റ്,Finger Millet,"തൃശ്ശൂർ, വയനാട്, കോട്ടയം","കളിമണ്ണ്, മണൽ മണ്ണ്",രാസവളം,മഴക്കാലം,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
ഉരുളക്കിഴങ്ങ്,Plantain,"തിരുവനന്തപുരം, പത്തനംതിട്ട, പാലക്കാട്",കളിമണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്",വേനൽക്കാലം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
മുരിങ്ങ,Sweet Potato,എറണാകുളം,"മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,"മഴക്കാലം, കാർഷിക സീസൺ","ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഇഞ്ചി,Coffee,"എറണാകുളം, തൃശ്ശൂർ, വയനാട്",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം","മഴക്കാലം, തുലാവർഷം",ജൈവ കീട നിയന്ത്രണം
കരിമ്പ്,Drumstick,"കണ്ണൂർ, മലപ്പുറം, കാസർഗോഡ്","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്",ജൈവവളം,"വേനൽക്കാലം, മഴക്കാലം",സമഗ്ര കീട പരിപാലനം
നിലക്കടല,Sugarcane,പാലക്കാട്,"ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"തുലാവർഷം, വേനൽക്കാലം",ജൈവ കീട നിയന്ത്രണം
എള്ള്,Coffee,കൊല്ലം,"കളിമണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം","വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
പൈനാപ്പിൾ,Turmeric,തിരുവനന്തപുരം,എക്കൽ മണ്ണ്,"പച്ചിലവളം, ജൈവവളം",കാർഷിക സീസൺ,സമഗ്ര കീട പരിപാലനം
ഇഞ്ചി,Black Pepper,മലപ്പുറം,"ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",രാസവളം,"മഴക്കാലം, വേനൽക്കാലം","രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
ഉരുളക്കിഴങ്ങ്,Grampu,"തിരുവനന്തപുരം, മലപ്പുറം","എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,തുലാവർഷം,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
കാപ്പി,Sorghum,കാസർഗോഡ്,കളിമണ്ണ്,"പച്ചിലവളം, രാസവളം","മഴക്കാലം, കാർഷിക സീസൺ","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
അരിക്കാട്ട്,Coffee,"കോഴിക്കോട്, പത്തനംതിട്ട, തൃശ്ശൂർ",മണൽ മണ്ണ്,ജൈവവളം,"മഴക്കാലം, വേനൽക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ഗോതമ്പ്,Finger Millet,"കാസർഗോഡ്, കൊല്ലം, കോഴിക്കോട്",എക്കൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
നിലക്കടല,Banana,"കോട്ടയം, കോഴിക്കോട്","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",രാസവളം,"കാർഷിക സീസൺ, മഴക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
കരിമ്പ്,Garlic,വയനാട്,"കളിമണ്ണ്, മണൽ മണ്ണ്",പച്ചിലവളം,മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
മധുരക്കിഴങ്ങ്,Grampu,"മലപ്പുറം, കോഴിക്കോട്, പാലക്കാട്","മണൽ മണ്ണ്, കളിമണ്ണ്",രാസവളം,"തുലാവർഷം, മഴക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
കാപ്പി,Coffee,വയനാട്,"മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",രാസവളം,മഴക്കാലം,സമഗ്ര കീട പരിപാലനം
ഇഞ്ചി,Wheat,"കോഴിക്കോട്, തിരുവനന്തപുരം, കോട്ടയം",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം","വേനൽക്കാലം, മഴക്കാലം",രാസ മരുന്ന്
മഞ്ഞൾ,Betel Leaf,"കോട്ടയം, മലപ്പുറം, കാസർഗോഡ്",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",മഴക്കാലം,ജൈവ കീട നിയന്ത്രണം
ടർ / ചുവന്ന പയർ,Coffee,"കൊല്ലം, കോഴിക്കോട്",എക്കൽ മണ്ണ്,രാസവളം,"കാർഷിക സീസൺ, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
മഞ്ഞൾ,Papaya,"കോഴിക്കോട്, തിരുവനന്തപുരം, വയനാട്",ചെങ്കൽ മണ്ണ്,"പച്ചിലവളം, ജൈവവളം","മഴക്കാലം, തുലാവർഷം","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
പരുത്തി,Coconut,കൊല്ലം,എക്കൽ മണ്ണ്,"ജൈവവളം, പച്ചിലവളം",വേനൽക്കാലം,ജൈവ കീട നിയന്ത്രണം
ഉരുളക്കിഴങ്ങ്,Coconut,വയനാട്,കളിമണ്ണ്,രാസവളം,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
മാങ്ങ,Coconut,"കണ്ണൂർ, പത്തനംതിട്ട, പാലക്കാട്",ചെങ്കൽ മണ്ണ്,ജൈവവളം,"വേനൽക്കാലം, കാർഷിക സീസൺ",രാസ മരുന്ന്
പരുത്തി,Ginger,"എറണാകുളം, തൃശ്ശൂർ","എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,കാർഷിക സീസൺ,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
കരിമ്പ്,Banana,"എറണാകുളം, പാലക്കാട്, മലപ്പുറം","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","രാസവളം, ജൈവവളം","വേനൽക്കാലം, തുലാവർഷം","രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
പുകയില,Chili,മലപ്പുറം,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്",രാസവളം,"വേനൽക്കാലം, തുലാവർഷം","രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
പപ്പായ,Sorghum,"കോട്ടയം, കാസർഗോഡ്","കളിമണ്ണ്, മണൽ മണ്ണ്","രാസവളം, പച്ചിലവളം",വേനൽക്കാലം,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
ചെറുകിട (തിനാ / ചാമ),Finger Millet,"എറണാകുളം, തിരുവനന്തപുരം",മണൽ മണ്ണ്,"രാസവളം, ജൈവവളം",വേനൽക്കാലം,"ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
പപ്പായ,Tea,"കോഴിക്കോട്, പത്തനംതിട്ട, എറണാകുളം","എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, രാസവളം",വേനൽക്കാലം,രാസ മരുന്ന്
മുരിങ്ങ,Mango,"കാസർഗോഡ്, തൃശ്ശൂർ, പാലക്കാട്",കളിമണ്ണ്,രാസവളം,"വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
കാപ്പി,Sweet Potato,കാസർഗോഡ്,കളിമണ്ണ്,"ജൈവവളം, പച്ചിലവളം","കാർഷിക സീസൺ, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
പരുത്തി,Sweet Potato,മലപ്പുറം,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"തുലാവർഷം, വേനൽക്കാലം","രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കൊക്കോ,Grampu,"തൃശ്ശൂർ, പത്തനംതിട്ട, ഇടുക്കി","എക്കൽ മണ്ണ്, കളിമണ്ണ്","പച്ചിലവളം, രാസവളം","മഴക്കാലം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
മാങ്ങ,Potato,കൊല്ലം,എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",വേനൽക്കാലം,രാസ മരുന്ന്
പപ്പായ,Arrowroot,"പാലക്കാട്, എറണാകുളം, തിരുവനന്തപുരം",മണൽ മണ്ണ്,കമ്പോസ്റ്റ്,"കാർഷിക സീസൺ, മഴക്കാലം",ജൈവ കീട നിയന്ത്രണം
മുരിങ്ങ,Banana,"പാലക്കാട്, ഇടുക്കി, കൊല്ലം","എക്കൽ മണ്ണ്, കളിമണ്ണ്",രാസവളം,"തുലാവർഷം, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
ജാതിക്ക വെളുത്തുള്ളി,Sweet Potato,"തിരുവനന്തപുരം, എറണാകുളം",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,സമഗ്ര കീട പരിപാലനം
ഗ്രാമ്പൂ,Chili,കോട്ടയം,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, രാസവളം",മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
കശുവണ്ടി,Betel Leaf,പാലക്കാട്,"കളിമണ്ണ്, മണൽ മണ്ണ്","പച്ചിലവളം, ജൈവവളം",കാർഷിക സീസൺ,രാസ മരുന്ന്
ഫിംഗർ മില്ലറ്റ്,Black Pepper,"കോട്ടയം, വയനാട്","കളിമണ്ണ്, മണൽ മണ്ണ്",പച്ചിലവളം,"വേനൽക്കാലം, മഴക്കാലം",രാസ മരുന്ന്
ചോളം,Coconut,പാലക്കാട്,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്",ജൈവവളം,"വേനൽക്കാലം, കാർഷിക സീസൺ",സമഗ്ര കീട പരിപാലനം
ഇഞ്ചി,Finger Millet,"തിരുവനന്തപുരം, കോഴിക്കോട്","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
ചോളം,Betel Leaf,"തൃശ്ശൂർ, കൊല്ലം",എക്കൽ മണ്ണ്,ജൈവവളം,കാർഷിക സീസൺ,രാസ മരുന്ന്
ടർ / ചുവന്ന പയർ,Corn,കൊല്ലം,ചെങ്കൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്","തുലാവർഷം, മഴക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഗ്രാമ്പൂ,Rice,"കോഴിക്കോട്, മലപ്പുറം, പത്തനംതിട്ട","മണൽ മണ്ണ്, കളിമണ്ണ്","രാസവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
പപ്പായ,Cardamom,കണ്ണൂർ,"മണൽ മണ്ണ്, കളിമണ്ണ്","പച്ചിലവളം, കമ്പോസ്റ്റ്","തുലാവർഷം, മഴക്കാലം","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
പുകയില,Potato,കണ്ണൂർ,എക്കൽ മണ്ണ്,"രാസവളം, ജൈവവളം","വേനൽക്കാലം, മഴക്കാലം","സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
പുകയില,Cocoa,പത്തനംതിട്ട,"കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, പച്ചിലവളം",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
പരുത്തി,Groundnut,"കാസർഗോഡ്, ഇടുക്കി",എക്കൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,"രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഗോതമ്പ്,Small Millet,"കൊല്ലം, കോഴിക്കോട്","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","പച്ചിലവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഫിംഗർ മില്ലറ്റ്,Groundnut,പത്തനംതിട്ട,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം",കാർഷിക സീസൺ,സമഗ്ര കീട പരിപാലനം
കരിമ്പ്,Arrowroot,"തൃശ്ശൂർ, പത്തനംതിട്ട",കളിമണ്ണ്,"രാസവളം, പച്ചിലവളം",മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
മധുരക്കിഴങ്ങ്,Garlic,പാലക്കാട്,മണൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
തേങ്ങ,Cocoa,"തിരുവനന്തപുരം, വയനാട്","കളിമണ്ണ്, മണൽ മണ്ണ്","പച്ചിലവളം, രാസവളം","കാർഷിക സീസൺ, തുലാവർഷം",ജൈവ കീട നിയന്ത്രണം
ടർ / ചുവന്ന പയർ,Drumstick,മലപ്പുറം,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, പച്ചിലവളം",വേനൽക്കാലം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
മാങ്ങ,Finger Millet,"പാലക്കാട്, കൊല്ലം","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്",പച്ചിലവളം,തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
അരിക്കാട്ട്,Corn,വയനാട്,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്","പച്ചിലവളം, ജൈവവളം",മഴക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
അരിക്കാട്ട്,Coconut,"കോഴിക്കോട്, മലപ്പുറം, കണ്ണൂർ","കളിമണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"തുലാവർഷം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
എള്ള്,Wheat,എറണാകുളം,"കളിമണ്ണ്, മണൽ മണ്ണ്",പച്ചിലവളം,തുലാവർഷം,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
കരിമ്പ്,Cardamom,"തൃശ്ശൂർ, എറണാകുളം",എക്കൽ മണ്ണ്,രാസവളം,"മഴക്കാലം, കാർഷിക സീസൺ","രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
ചെറുകിട (തിനാ / ചാമ),Cotton,കോഴിക്കോട്,"എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,വേനൽക്കാലം,ജൈവ കീട നിയന്ത്രണം
വാഴപ്പഴം,Wheat,"എറണാകുളം, തൃശ്ശൂർ, ഇടുക്കി",ചെങ്കൽ മണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്",മഴക്കാലം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
ചോളം,Plantain,"കൊല്ലം, കണ്ണൂർ, കോട്ടയം","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, രാസവളം","തുലാവർഷം, കാർഷിക സീസൺ",ജൈവ കീട നിയന്ത്രണം
നിലക്കടല,Black Pepper,"കൊല്ലം, തൃശ്ശൂർ","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്","തുലാവർഷം, കാർഷിക സീസൺ",രാസ മരുന്ന്
പരുത്തി,Papaya,"ഇടുക്കി, എറണാകുളം, കാസർഗോഡ്",മണൽ മണ്ണ്,"രാസവളം, ജൈവവളം","വേനൽക്കാലം, മഴക്കാലം",സമഗ്ര കീട പരിപാലനം
ജാതിക്ക വെളുത്തുള്ളി,Grampu,"ഇടുക്കി, കോഴിക്കോട്, കൊല്ലം",എക്കൽ മണ്ണ്,രാസവളം,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഏലം,Cotton,കാസർഗോഡ്,"ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്",പച്ചിലവളം,മഴക്കാലം,രാസ മരുന്ന്
