crop_name_ml,crop_name_en,cultivation_zones,soil_types,fertilizers,seasons,pest_control_methods
അരിക്കാട്ട്,Small Millet,"കോട്ടയം, കോഴിക്കോട്, കൊല്ലം",മണൽ മണ്ണ്,കമ്പോസ്റ്റ്,"തുലാവർഷം, കാർഷിക സീസൺ",രാസ മരുന്ന്
മുരിങ്ങ,Coconut,"കണ്ണൂർ, തിരുവനന്തപുരം, കാസർഗോഡ്","മണൽ മണ്ണ്, കളിമണ്ണ്",കമ്പോസ്റ്റ്,"വേനൽക്കാലം, കാർഷിക സീസൺ",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കശുവണ്ടി,Coffee,"കൊല്ലം, കോഴിക്കോട്","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, രാസവളം","തുലാവർഷം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
ചെറുകിട (തിനാ / ചാമ),Betel Leaf,"എറണാകുളം, പത്തനംതിട്ട",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","മഴക്കാലം, തുലാവർഷം","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
കൊക്കോ,Sugarcane,"പത്തനംതിട്ട, കോഴിക്കോട്","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം",തുലാവർഷം,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
ചായ,Pineapple,"മലപ്പുറം, തിരുവനന്തപുരം","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","പച്ചിലവളം, ജൈവവളം","വേനൽക്കാലം, കാർഷിക സീസൺ",ജൈവ കീട നിയന്ത്രണം
പച്ചമുളക്,Coconut,"വയനാട്, കൊല്ലം","കളിമണ്ണ്, എക്കൽ മണ്ണ്",ജൈവവളം,"തുലാവർഷം, വേനൽക്കാലം",സമഗ്ര കീട പരിപാലനം
തേങ്ങ,Sugarcane,"തിരുവനന്തപുരം, എറണാകുളം","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
ചെറുകിട (തിനാ / ചാമ),Drumstick,"പാലക്കാട്, മലപ്പുറം, വയനാട്",കളിമണ്ണ്,"രാസവളം, പച്ചിലവളം","കാർഷിക സീസൺ, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
തേങ്ങ,Rice,കാസർഗോഡ്,എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം",മഴക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കരിമ്പ്,Drumstick,"കൊല്ലം, കണ്ണൂർ","മണൽ മണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, കമ്പോസ്റ്റ്","വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
കൊക്കോ,Cashew,"ഇടുക്കി, വയനാട്, കോട്ടയം",മണൽ മണ്ണ്,"രാസവളം, ജൈവവളം",കാർഷിക സീസൺ,രാസ മരുന്ന്
ഉരുളക്കിഴങ്ങ്,Pigeon Pea,കോഴിക്കോട്,മണൽ മണ്ണ്,കമ്പോസ്റ്റ്,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കുരുമുളക്,Coffee,തൃശ്ശൂർ,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
പപ്പായ,Corn,വയനാട്,ചെങ്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,വേനൽക്കാലം,രാസ മരുന്ന്
ടർ / ചുവന്ന പയർ,Finger Millet,"കാസർഗോഡ്, കോഴിക്കോട്",മണൽ മണ്ണ്,പച്ചിലവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
നിലക്കടല,Mango,"കണ്ണൂർ, തൃശ്ശൂർ, പാലക്കാട്",ചെങ്കൽ മണ്ണ്,രാസവളം,"മഴക്കാലം, വേനൽക്കാലം","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
വെറ്റില,Cardamom,കണ്ണൂർ,മണൽ മണ്ണ്,"പച്ചിലവളം, കമ്പോസ്റ്റ്",വേനൽക്കാലം,"ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഗ്രാമ്പൂ,Mango,"കണ്ണൂർ, കോഴിക്കോട്",എക്കൽ മണ്ണ്,"ജൈവവളം, രാസവളം","തുലാവർഷം, മഴക്കാലം",സമഗ്ര കീട പരിപാലനം
ഗോതമ്പ്,Sweet Potato,"മലപ്പുറം, കണ്ണൂർ",എക്കൽ മണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്","മഴക്കാലം, കാർഷിക സീസൺ","ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
നിലക്കടല,Potato,കണ്ണൂർ,എക്കൽ മണ്ണ്,പച്ചിലവളം,കാർഷിക സീസൺ,ജൈവ കീട നിയന്ത്രണം
മഞ്ഞൾ,Tea,"പാലക്കാട്, എറണാകുളം","എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
വാഴപ്പഴം,Pigeon Pea,"കണ്ണൂർ, പാലക്കാട്","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,"കാർഷിക സീസൺ, മഴക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ജാതിക്ക വെളുത്തുള്ളി,Mango,മലപ്പുറം,"ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, പച്ചിലവളം",വേനൽക്കാലം,സമഗ്ര കീട പരിപാലനം
ജാതിക്ക വെളുത്തുള്ളി,Coffee,"വയനാട്, കാസർഗോഡ്, മലപ്പുറം",കളിമണ്ണ്,ജൈവവളം,തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
കൊക്കോ,Grampu,എറണാകുളം,"ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",ജൈവവളം,കാർഷിക സീസൺ,സമഗ്ര കീട പരിപാലനം
ചോളം,Drumstick,"തിരുവനന്തപുരം, വയനാട്",ചെങ്കൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,രാസ മരുന്ന്
മാങ്ങ,Finger Millet,മലപ്പുറം,"കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,കാർഷിക സീസൺ,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഉരുളക്കിഴങ്ങ്,Plantain,പത്തനംതിട്ട,"കളിമണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"മഴക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഏലം,Garlic,"തിരുവനന്തപുരം, പത്തനംതിട്ട","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,"വേനൽക്കാലം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
ഉരുളക്കിഴങ്ങ്,Mango,"കണ്ണൂർ, വയനാട്, കൊല്ലം",മണൽ മണ്ണ്,"ജൈവവളം, രാസവളം",വേനൽക്കാലം,ജൈവ കീട നിയന്ത്രണം
പച്ചമുളക്,Ginger,"ഇടുക്കി, വയനാട്","മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,"വേനൽക്കാലം, മഴക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കുരുമുളക്,Cashew,കോഴിക്കോട്,ചെങ്കൽ മണ്ണ്,ജൈവവളം,"മഴക്കാലം, വേനൽക്കാലം",രാസ മരുന്ന്
തേങ്ങ,Pineapple,"ഇടുക്കി, തിരുവനന്തപുരം","കളിമണ്ണ്, മണൽ മണ്ണ്","രാസവളം, ജൈവവളം","മഴക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
കുരുമുളക്,Pineapple,"കണ്ണൂർ, എറണാകുളം, ഇടുക്കി",മണൽ മണ്ണ്,രാസവളം,വേനൽക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
പച്ചമുളക്,Cashew,"എറണാകുളം, കണ്ണൂർ, പത്തനംതിട്ട",ചെങ്കൽ മണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്","തുലാവർഷം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
ഫിംഗർ മില്ലറ്റ്,Chili,"വയനാട്, തൃശ്ശൂർ, കൊല്ലം",ചെങ്കൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്",വേനൽക്കാലം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
വാഴപ്പഴം,Cardamom,പത്തനംതിട്ട,"മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ചോളം,Papaya,ഇടുക്കി,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, പച്ചിലവളം",കാർഷിക സീസൺ,സമഗ്ര കീട പരിപാലനം
ഗോതമ്പ്,Coffee,തിരുവനന്തപുരം,"മണൽ മണ്ണ്, കളിമണ്ണ്",കമ്പോസ്റ്റ്,വേനൽക്കാലം,സമഗ്ര കീട പരിപാലനം
മാങ്ങ,Coconut,കാസർഗോഡ്,"എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, പച്ചിലവളം","വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
പപ്പായ,Wheat,"പത്തനംതിട്ട, കോഴിക്കോട്","എക്കൽ മണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം",കാർഷിക സീസൺ,രാസ മരുന്ന്
എള്ള്,Potato,പത്തനംതിട്ട,"ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,"മഴക്കാലം, കാർഷിക സീസൺ",സമഗ്ര കീട പരിപാലനം
അരിക്കാട്ട്,Cocoa,"മലപ്പുറം, പത്തനംതിട്ട, തിരുവനന്തപുരം",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",വേനൽക്കാലം,സമഗ്ര കീട പരിപാലനം
ഉരുളക്കിഴങ്ങ്,Coconut,"എറണാകുളം, വയനാട്, പത്തനംതിട്ട",മണൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,"ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
ഗോതമ്പ്,Plantain,"കണ്ണൂർ, എറണാകുളം",എക്കൽ മണ്ണ്,"ജൈവവളം, രാസവളം",മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കൊക്കോ,Sugarcane,പാലക്കാട്,മണൽ മണ്ണ്,രാസവളം,"കാർഷിക സീസൺ, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ചായ,Finger Millet,"തൃശ്ശൂർ, വയനാട്, പത്തനംതിട്ട",കളിമണ്ണ്,കമ്പോസ്റ്റ്,തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
തേങ്ങ,Betel Leaf,"തൃശ്ശൂർ, തിരുവനന്തപുരം","എക്കൽ മണ്ണ്, കളിമണ്ണ്",ജൈവവളം,"മഴക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ചോളം,Papaya,"കോഴിക്കോട്, കണ്ണൂർ, തിരുവനന്തപുരം",എക്കൽ മണ്ണ്,പച്ചിലവളം,"മഴക്കാലം, തുലാവർഷം",രാസ മരുന്ന്
ഫിംഗർ മില്ലറ്റ്,Chili,കോഴിക്കോട്,എക്കൽ മണ്ണ്,ജൈവവളം,മഴക്കാലം,സമഗ്ര കീട പരിപാലനം
ചായ,Sugarcane,"കോഴിക്കോട്, കൊല്ലം","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്",രാസവളം,തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
ടർ / ചുവന്ന പയർ,Turmeric,"വയനാട്, പത്തനംതിട്ട, കോഴിക്കോട്",എക്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,"വേനൽക്കാലം, കാർഷിക സീസൺ","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
ഫിംഗർ മില്ലറ്റ്,Potato,എറണാകുളം,എക്കൽ മണ്ണ്,കമ്പോസ്റ്റ്,"വേനൽക്കാലം, മഴക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
അരിക്കാട്ട്,Groundnut,"കണ്ണൂർ, എറണാകുളം, പത്തനംതിട്ട",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം","കാർഷിക സീസൺ, മഴക്കാലം",സമഗ്ര കീട പരിപാലനം
പുകയില,Ginger,മലപ്പുറം,"എക്കൽ മണ്ണ്, കളിമണ്ണ്",കമ്പോസ്റ്റ്,"വേനൽക്കാലം, തുലാവർഷം",രാസ മരുന്ന്
തേങ്ങ,Sugarcane,"തൃശ്ശൂർ, കാസർഗോഡ്, കോട്ടയം","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം","കാർഷിക സീസൺ, തുലാവർഷം",സമഗ്ര കീട പരിപാലനം
ജാതിക്ക വെളുത്തുള്ളി,Betel Leaf,"പത്തനംതിട്ട, കോട്ടയം","ചെങ്കൽ മണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,"ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
എള്ള്,Drumstick,"മലപ്പുറം, പാലക്കാട്, കൊല്ലം","മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",ജൈവവളം,കാർഷിക സീസൺ,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഏലം,Pineapple,"കൊല്ലം, മലപ്പുറം","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം",മഴക്കാലം,സമഗ്ര കീട പരിപാലനം
ഉരുളക്കിഴങ്ങ്,Small Millet,"കോഴിക്കോട്, തൃശ്ശൂർ","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, രാസവളം",കാർഷിക സീസൺ,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
ചെറുകിട (തിനാ / ചാമ),Coffee,"വയനാട്, പത്തനംതിട്ട, മലപ്പുറം",എക്കൽ മണ്ണ്,"രാസവളം, ജൈവവളം","മഴക്കാലം, വേനൽക്കാലം","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
പുകയില,Groundnut,"കോട്ടയം, പത്തനംതിട്ട, ഇടുക്കി",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം","തുലാവർഷം, വേനൽക്കാലം",സമഗ്ര കീട പരിപാലനം
ഗോതമ്പ്,Chili,കണ്ണൂർ,എക്കൽ മണ്ണ്,രാസവളം,"തുലാവർഷം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ടർ / ചുവന്ന പയർ,Cardamom,"പാലക്കാട്, കോഴിക്കോട്",കളിമണ്ണ്,"പച്ചിലവളം, കമ്പോസ്റ്റ്","മഴക്കാലം, വേനൽക്കാലം","ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
വെറ്റില,Cashew,പത്തനംതിട്ട,കളിമണ്ണ്,രാസവളം,"വേനൽക്കാലം, തുലാവർഷം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, രാസ മരുന്ന്"
വെറ്റില,Ginger,കോട്ടയം,എക്കൽ മണ്ണ്,പച്ചിലവളം,"മഴക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
കാപ്പി,Betel Leaf,"കൊല്ലം, കണ്ണൂർ","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം","കാർഷിക സീസൺ, വേനൽക്കാലം","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
പച്ചമുളക്,Ginger,"പാലക്കാട്, മലപ്പുറം, എറണാകുളം","എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,വേനൽക്കാലം,"ജൈവ കീട നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
കൊക്കോ,Pineapple,"എറണാകുളം, മലപ്പുറം, കോഴിക്കോട്",മണൽ മണ്ണ്,കമ്പോസ്റ്റ്,"കാർഷിക സീസൺ, മഴക്കാലം","രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
ചായ,Pigeon Pea,"തിരുവനന്തപുരം, എറണാകുളം","കളിമണ്ണ്, മണൽ മണ്ണ്",പച്ചിലവളം,തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഉരുളക്കിഴങ്ങ്,Groundnut,"കാസർഗോഡ്, എറണാകുളം",കളിമണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","മഴക്കാലം, വേനൽക്കാലം","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
പുകയില,Potato,"തൃശ്ശൂർ, കോഴിക്കോട്, തിരുവനന്തപുരം",ചെങ്കൽ മണ്ണ്,"പച്ചിലവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,ജൈവ കീട നിയന്ത്രണം
നിലക്കടല,Tobacco,"എറണാകുളം, കോഴിക്കോട്, മലപ്പുറം",കളിമണ്ണ്,"പച്ചിലവളം, രാസവളം","മഴക്കാലം, കാർഷിക സീസൺ",രാസ മരുന്ന്
എള്ള്,Coconut,കോഴിക്കോട്,ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം","വേനൽക്കാലം, മഴക്കാലം",ജൈവ കീട നിയന്ത്രണം
ചോളം,Finger Millet,"തൃശ്ശൂർ, കാസർഗോഡ്, കൊല്ലം","കളിമണ്ണ്, എക്കൽ മണ്ണ്",കമ്പോസ്റ്റ്,കാർഷിക സീസൺ,ജൈവ കീട നിയന്ത്രണം
ചായ,Finger Millet,"കാസർഗോഡ്, കോഴിക്കോട്, കോട്ടയം",കളിമണ്ണ്,"പച്ചിലവളം, രാസവളം",കാർഷിക സീസൺ,സമഗ്ര കീട പരിപാലനം
ജാതിക്ക വെളുത്തുള്ളി,Mango,"കോഴിക്കോട്, വയനാട്",ചെങ്കൽ മണ്ണ്,പച്ചിലവളം,മഴക്കാലം,"രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
പുകയില,Sugarcane,"കൊല്ലം, കോഴിക്കോട്","കളിമണ്ണ്, മണൽ മണ്ണ്","കമ്പോസ്റ്റ്, രാസവളം",വേനൽക്കാലം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഫിംഗർ മില്ലറ്റ്,Plantain,"മലപ്പുറം, പാലക്കാട്","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്","പച്ചിലവളം, കമ്പോസ്റ്റ്",തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
എള്ള്,Mango,"കോഴിക്കോട്, ഇടുക്കി, തൃശ്ശൂർ",മണൽ മണ്ണ്,"ജൈവവളം, പച്ചിലവളം","കാർഷിക സീസൺ, മഴക്കാലം","രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
പുകയില,Papaya,"കണ്ണൂർ, കോട്ടയം",കളിമണ്ണ്,"ജൈവവളം, രാസവളം",വേനൽക്കാലം,ജൈവ കീട നിയന്ത്രണം
പൈനാപ്പിൾ,Tobacco,"തൃശ്ശൂർ, വയനാട്, കോട്ടയം",മണൽ മണ്ണ്,"ജൈവവളം, രാസവളം",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
കരിമ്പ്,Grampu,"കൊല്ലം, കോഴിക്കോട്","ചെങ്കൽ മണ്ണ്, കളിമണ്ണ്",ജൈവവളം,തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
വാഴപ്പഴം,Corn,പാലക്കാട്,"എക്കൽ മണ്ണ്, കളിമണ്ണ്",പച്ചിലവളം,മഴക്കാലം,"രാസ മരുന്ന്, സമഗ്ര കീട പരിപാലനം"
പപ്പായ,Drumstick,കണ്ണൂർ,മണൽ മണ്ണ്,പച്ചിലവളം,"വേനൽക്കാലം, മഴക്കാലം",രാസ മരുന്ന്
ചോളം,Grampu,"എറണാകുളം, തൃശ്ശൂർ",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, രാസവളം","മഴക്കാലം, കാർഷിക സീസൺ","സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
വെറ്റില,Papaya,"കണ്ണൂർ, കോട്ടയം, വയനാട്",കളിമണ്ണ്,ജൈവവളം,വേനൽക്കാലം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
ചായ,Plantain,കോഴിക്കോട്,"എക്കൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, രാസവളം","തുലാവർഷം, മഴക്കാലം","രാസ മരുന്ന്, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കശുവണ്ടി,Sorghum,"മലപ്പുറം, കണ്ണൂർ","കളിമണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, കമ്പോസ്റ്റ്","വേനൽക്കാലം, കാർഷിക സീസൺ","രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
ചായ,Cocoa,"കോഴിക്കോട്, പത്തനംതിട്ട","മണൽ മണ്ണ്, കളിമണ്ണ്",കമ്പോസ്റ്റ്,മഴക്കാലം,"ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഇഞ്ചി,Garlic,കോഴിക്കോട്,ചെങ്കൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
എള്ള്,Groundnut,"ഇടുക്കി, തിരുവനന്തപുരം, കണ്ണൂർ",കളിമണ്ണ്,കമ്പോസ്റ്റ്,തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
കുരുമുളക്,Coconut,"കോട്ടയം, വയനാട്, കോഴിക്കോട്","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","പച്ചിലവളം, ജൈവവളം",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, ജൈവ കീട നിയന്ത്രണം"
പുകയില,Corn,"പത്തനംതിട്ട, പാലക്കാട്, കാസർഗോഡ്","കളിമണ്ണ്, മണൽ മണ്ണ്","ജൈവവളം, രാസവളം","കാർഷിക സീസൺ, തുലാവർഷം",ജൈവ കീട നിയന്ത്രണം
ഗോതമ്പ്,Cotton,"വയനാട്, കോട്ടയം, പാലക്കാട്","കളിമണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
അരിക്കാട്ട്,Coffee,പത്തനംതിട്ട,"മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",ജൈവവളം,"കാർഷിക സീസൺ, വേനൽക്കാലം",ജൈവ കീട നിയന്ത്രണം
ജാതിക്ക വെളുത്തുള്ളി,Banana,"പത്തനംതിട്ട, തിരുവനന്തപുരം",മണൽ മണ്ണ്,"ജൈവവളം, പച്ചിലവളം","വേനൽക്കാലം, കാർഷിക സീസൺ",ജൈവ കീട നിയന്ത്രണം
പച്ചമുളക്,Turmeric,"കണ്ണൂർ, എറണാകുളം, ഇടുക്കി",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","തുലാവർഷം, വേനൽക്കാലം","ജൈവ കീട നിയന്ത്രണം, രാസ മരുന്ന്"
